gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
NSDHL,,NSDHL,,8038.41.3,NSDHL.8038.41.3
MATN2,,MATN2,,3325.2.2,MATN2.3325.2.2
BGN,,BGN,,3284.75.1,BGN.3284.75.1
ACBD7,,ACBD7,,13563.259.3,ACBD7.13563.259.3
ANGPT2,,ANGPT2,,2602.2.2,ANGPT2.2602.2.2
APOB,,APOB,,2797.56.2,APOB.2797.56.2
PIANP,,PIANP,,14114.18.3,PIANP.14114.18.3
PIANP,,PIANP,,9599.6.3,PIANP.9599.6.3
NELL2,,NELL2,,6022.57.3,NELL2.6022.57.3
GMFG,,GMFG,,13062.4.3,GMFG.13062.4.3
COCH,,COCH,,7227.75.3,COCH.7227.75.3
EREG,,EREG,,4956.2.1,EREG.4956.2.1
FAM19A4,,FAM19A4,,6511.17.3,FAM19A4.6511.17.3
GP5,,GP5,,7185.29.3,GP5.7185.29.3
NCR3,,NCR3,,3003.29.2,NCR3.3003.29.2
ISG15,,ISG15,,14151.4.3,ISG15.14151.4.3
SELP,,SELP,,4154.57.2,SELP.4154.57.2
CNTN2,,CNTN2,,3296.92.2,CNTN2.3296.92.2
TBCA,,TBCA,,12501.10.3,TBCA.12501.10.3
FTH1,,FTH1_FTL,,FTL.5934.1.3,FTH1.FTL.5934.1.3
SEC13,,SEC13,,14689.3.3,SEC13.14689.3.3
CLIC5,,CLIC5,,12475.48.3,CLIC5.12475.48.3
CD48,,CD48,,3292.75.1,CD48.3292.75.1
IGSF11,,IGSF11,,10700.10.3,IGSF11.10700.10.3
GGH,,GGH,,9370.69.3,GGH.9370.69.3
LAMA1,,LAMA1_LAMB1_LAMC1,,LAMB1.LAMC1.2728.62.2,LAMA1.LAMB1.LAMC1.2728.62.2
CD300C,,CD300C,,5066.134.3,CD300C.5066.134.3
EPHA10,,EPHA10,,6036.78.3,EPHA10.6036.78.3
CSNK2A1,,CSNK2A1,,5224.20.3,CSNK2A1.5224.20.3
PLXNC1,,PLXNC1,,4564.2.2,PLXNC1.4564.2.2
PRNP,,PRNP,,6545.58.3,PRNP.6545.58.3
SIT1,,SIT1,,11194.6.3,SIT1.11194.6.3
CXADR,,CXADR,,11204.80.3,CXADR.11204.80.3
GOLM1,,GOLM1,,8983.7.3,GOLM1.8983.7.3
FN1,,FN1,,3435.53.2,FN1.3435.53.2
TNFRSF4,,TNFRSF4,,3730.81.2,TNFRSF4.3730.81.2
AMH,,AMH,,4923.79.1,AMH.4923.79.1
CD3E,,CD3E,,8069.85.3,CD3E.8069.85.3
SEMA3E,,SEMA3E,,5363.51.3,SEMA3E.5363.51.3
PTH,,PTH,,5954.62.3,PTH.5954.62.3
AGER,,AGER,,4125.52.2,AGER.4125.52.2
PIGR,,PIGR,,3216.2.2,PIGR.3216.2.2
FAM151A,,FAM151A,,7856.51.3,FAM151A.7856.51.3
ASGR2,,ASGR2,,9474.22.3,ASGR2.9474.22.3
ERBB3,,ERBB3,,2617.56.35,ERBB3.2617.56.35
SERPINF1,,SERPINF1,,9211.19.3,SERPINF1.9211.19.3
RNASEH1,,RNASEH1,,8470.213.3,RNASEH1.8470.213.3
SPTAN1,,SPTAN1,,5031.10.1,SPTAN1.5031.10.1
FAM174A,,FAM174A,,6597.24.3,FAM174A.6597.24.3
KCNE5,,KCNE5,,8908.14.3,KCNE5.8908.14.3
